Predicted labels before feature engineering,Predicted labels after feature engineering,No of new features,feature_8,feature_15,feature_24,feature_26,feature_28,feature_29,feature_35,feature_36,feature_44,feature_46,feature_58,feature_60,feature_86,feature_93,feature_102,feature_109,feature_113,feature_117,feature_143,feature_145,feature_170,feature_174,feature_178,feature_182,feature_201,feature_207,feature_209,feature_219,feature_222,feature_226,feature_229,feature_232,feature_233,feature_238,feature_256
25.0,25.0,,0.862861753,-1.421777844,0.206397116,0.134797394,-1.092707515,-0.056768674,0.020000366,2.471619844,-3.038191557,0.629187942,0.369363844,-0.888614953,0.124646552,-0.681950331,-0.058281247,-0.270752013,-2.433747292,-1.82094717,0.368457377,2.232078314,-1.184071779,-0.320653617,-1.71920228,2.964644194,-0.363554478,0.125860944,-0.090500556,-0.574419856,-1.912512898,-2.014584064,-0.150642142,1.908236623,1.154081345,-2.179175854,-2.201786995
25.0,25.0,,1.835790515,-2.054254532,1.098562002,1.324399352,-1.909901738,0.238812864,-0.642327189,0.863378882,-1.281191707,-0.798508048,3.16986227,-2.479742765,0.62053746,0.992867649,-0.693314612,1.34759593,-0.174889743,-0.125403449,1.476856112,1.876499057,-1.099046469,-0.635675848,-1.37710619,1.573355198,-1.4664886,-0.55983609,1.03124094,0.369913518,-0.234582111,-3.064251184,1.881343722,0.218696237,1.660666943,-1.039453626,-1.757050633
25.0,25.0,,2.064646244,-0.35440743,2.251584291,4.110263348,-1.44026947,1.237846732,-1.176233292,-0.891313553,-0.566909134,0.330058932,1.50395298,0.233045742,1.351945043,2.865972281,-2.871775389,0.53499949,-2.721355438,-2.444947481,2.771151066,3.160203457,2.212541819,2.841183901,-0.893180251,1.038277864,-0.384705782,0.038726777,0.1106195,-1.67812252,-1.923186541,-4.392131805,1.508556128,1.091123223,1.180340052,1.098166466,0.89198488
25.0,25.0,,2.610570908,-2.663613081,1.431143641,0.932863414,-1.164129019,0.445087522,-0.546644032,1.570665956,-1.113544464,-0.924415052,-0.507750392,-0.844672084,0.553378522,0.804509938,-0.603757381,1.010278583,-0.121810883,-0.592068195,1.847617626,1.697540045,1.560878396,1.678313971,0.329061002,1.825400233,-1.355265737,-0.308785528,1.105528355,0.217147231,-1.524720669,-2.041301966,-0.011834539,-0.25829789,3.604741335,-1.828788757,-1.442923069
25.0,25.0,,0.351289958,-1.280978322,0.138114184,0.557287991,-1.156695247,-0.462144107,-0.426512241,2.056936741,-2.55306077,0.576353014,-0.030316932,-0.345121533,-0.306470215,0.754134715,-0.89143765,0.97341907,-2.620423794,-0.730386317,0.040696859,2.142901897,-0.491369247,0.074115343,0.108879633,1.784730554,-0.217918321,-0.206880495,1.200788379,-1.396950126,-1.131829381,-2.274957418,-0.691973567,0.801808059,0.693017662,-1.85423851,-1.856071711
25.0,25.0,,2.92579484,-0.968603134,1.62999928,2.610393763,-1.75389576,0.673746407,-1.12851882,0.029720033,-1.790488362,0.479729325,0.22562395,-0.218333483,1.234952927,2.309373856,-2.245462656,0.890062213,-1.843680382,-2.462023735,2.499296904,2.692027807,0.58457166,2.749782562,0.715083659,1.271470308,-0.958488584,-0.960570514,1.057678938,-0.840083361,-2.413764715,-3.791032791,0.62388891,0.656947732,1.473033667,0.266131192,-0.114110887
25.0,25.0,,0.798695087,-1.553697467,2.590224028,1.020865321,-1.569422603,-0.302586734,-0.729234338,-0.244669378,-2.329817295,-0.320422918,1.052849889,-0.122677699,0.582094848,-0.202039465,-0.948402822,0.471503764,-2.074864626,-1.360678315,1.385758281,0.982334197,-1.214306831,1.79941988,-1.921752691,1.499556065,1.745245457,-1.124525905,0.42723605,-1.857682347,-3.511492729,-2.765701532,1.617585063,-0.012975013,0.76244998,0.551024675,-2.904144526
25.0,25.0,,0.109383173,-1.18921721,2.157541752,1.609081507,-2.215350151,1.105177283,-1.41217804,0.146800071,-1.510537982,-0.372609407,0.928350151,-1.502257586,0.891443372,0.284438193,-2.944290638,0.823666334,-0.684148073,-1.499885082,1.553063989,0.651311755,0.388952136,1.226704121,-1.507804394,0.861851692,-0.998544037,-0.326502591,0.413786799,-1.366037488,-2.94333744,-2.700021982,0.424964339,-0.121297017,1.769960284,-0.916477263,-1.171803117
27.0,27.0,,-0.943844199,-1.064009547,0.409369141,1.411096931,-1.117668867,0.435602188,-0.304044604,-1.582260251,0.023040516,-0.500048876,-1.143031597,0.609419227,1.090023518,-0.205169171,-2.691942453,2.037384272,1.653349996,3.418008089,0.066468976,0.073241867,-2.209480047,1.014872193,-1.234838605,2.368746042,-2.188997507,-0.345449328,2.326996326,-0.990781665,-1.079155087,0.381599575,-0.607168496,1.432811856,-3.768992662,0.586571991,-1.604290247
27.0,27.0,,0.219200194,-0.307031751,0.293933541,1.684730649,-0.708082199,0.712438822,-0.233190894,-1.484307289,0.876173139,-0.751944423,-0.037130523,1.351451516,1.431943178,0.145596161,-3.076218843,1.901381969,1.481467724,2.601448536,-0.411966443,-0.105425537,-2.536382675,2.451586246,-1.384033084,1.307416797,-1.16211915,-1.079466224,2.11977458,-0.375633955,-1.609924793,-0.425217927,-0.332303166,-0.200238511,-3.29289794,0.611393988,-2.546016932
27.0,27.0,,1.256623268,0.776549757,1.070125937,2.094079494,-1.543777466,0.536226392,-0.777086139,-2.660866976,0.941241801,2.323783159,1.688295007,1.369201183,0.550251782,-0.455538154,-4.633483887,0.434511781,1.739355803,0.947694898,-3.182028532,1.65719831,-1.80539608,-0.225013509,-3.298495293,2.073242903,0.614784718,-0.224806666,0.533798337,-4.419837475,-1.686054826,-0.325339228,-0.041434616,0.06726259,-2.805642366,1.466761112,-1.66525197
27.0,27.0,,1.838863373,-0.060910925,-0.314208776,0.796787918,0.091621108,-0.608165145,-1.991277099,-1.721473217,0.18595238,1.594788194,0.874833107,1.342724681,0.99131012,-0.6760934,-3.339125633,0.298951864,1.908089519,1.387780905,-2.642572641,0.592978776,-1.282181025,0.824505925,-1.432688236,1.807208538,1.129302382,0.15267162,1.800367355,-3.395159245,-1.295807838,-0.059663802,0.774038553,0.186383188,-1.252371788,1.233240366,-3.027403116
27.0,27.0,,2.119781256,-0.517008662,0.781916738,1.038945079,0.545144796,-1.10106194,-0.957348287,-3.614067316,0.728601933,1.154039979,2.423084974,0.931217551,-0.730384409,-0.7525267,-1.723112583,-0.288323253,2.533199787,-0.103906095,-1.704354286,0.16130513,-0.626591742,1.023740292,-1.356856227,1.556455493,0.123803951,-2.448816299,2.346752644,-3.582100391,-0.195340723,0.43205297,0.910895765,0.093479313,-0.766085327,-1.569045544,-2.136229038
27.0,27.0,,0.325786382,-0.051062133,0.618126392,1.90948534,-0.412915081,0.395917624,-1.686468601,-2.777291298,-0.002362467,0.753471851,1.087676644,1.044188619,0.506516159,-0.153243244,-3.926357269,1.160404682,0.339352071,2.242484093,-2.649231434,1.990699291,-1.537558198,2.561538935,-2.593343735,2.172816515,-0.842250288,-0.437908143,2.149373055,-3.343523741,-1.113161564,-1.189548016,-0.056948926,0.728855431,-3.898810863,-0.111281037,-2.877738714
27.0,27.0,,1.16487658,-0.876980722,0.661364615,1.245560527,0.19385083,-0.270545632,-1.454915166,-1.794164658,-0.171244279,0.496077597,1.400589824,0.84174633,0.386507779,-0.669677615,-1.703238487,0.28246972,0.240019038,1.803041101,-2.166201115,0.740011036,-1.966955781,2.389669895,-0.526371181,1.717611432,0.084179632,-0.688711703,1.806077242,-2.761545897,-1.168275237,-2.055366039,0.786573112,0.254431397,-2.311753273,-0.203898162,-2.62550211
27.0,27.0,,0.772594571,1.041623712,0.76240617,2.43947196,0.279997587,-0.711446643,-3.174875975,-2.19876647,0.855152369,0.505770743,0.817091107,0.253616214,0.517133832,-1.845753551,-0.316246241,2.027453899,2.672045946,3.519424438,-3.490558386,1.764292121,-0.758121729,0.70664078,-1.906327844,1.383717299,1.633832097,1.567156792,1.160158277,-3.811911106,-1.057560444,0.393252641,0.686119974,0.818579197,-3.062501907,-0.430351466,-1.717164278
23.0,23.0,,0.953991711,-1.374940157,0.960715115,-0.062170804,0.631387234,0.216689467,0.952024937,-1.486563444,-1.408124089,1.625763655,3.926573038,1.007862926,-1.16504693,0.699996114,-1.596712112,-1.011505008,-0.766541064,-2.241838694,1.067997694,2.05995512,0.052341044,1.204521537,-0.80140698,0.657596231,0.509571791,-1.882127166,1.073117495,-1.835868359,-0.506403089,-1.339290142,0.80845809,0.311621755,1.045424581,-1.300659418,-0.833572865
23.0,26.0,,-1.724480271,-0.925281644,0.526645541,0.50404495,0.151325941,0.165756539,0.673336983,0.513974667,-1.836119533,0.571234703,0.111688487,-0.828518391,0.673120916,-0.789902627,-2.892810822,-1.150282383,-0.672103167,0.583650172,-0.596377611,0.691489756,-1.158098817,2.157713652,-0.372095376,0.637258112,-0.358957618,0.180331528,1.897410035,-0.654999793,-2.38111639,-2.495693207,0.425892651,-0.598871589,0.331633091,-1.131353974,-1.178018212
23.0,23.0,,-0.060114127,-1.736853242,1.116300821,0.56556356,-0.39723748,-1.378970265,0.940592647,2.664466619,-2.652181864,-0.163397044,0.668412447,-1.60633862,-0.552422464,1.895996332,-0.225363806,-0.660632193,-2.765177727,-0.176160991,2.929569006,1.066620588,-1.405281663,1.746096134,-0.274833947,4.215279579,-1.768363953,-2.150661707,0.408361882,-0.353062481,-0.455779701,-0.598904729,1.396665454,0.045007449,2.595139503,-1.302512407,-1.37455368
23.0,23.0,,0.640065312,-0.072408758,-0.275517702,1.627168536,0.018031778,-0.396256387,0.170583457,0.65745455,-0.879653037,-0.433803499,0.8162117,-0.745967388,-1.483412623,2.998526096,-0.789109588,0.747101367,-3.684766531,-0.481175959,1.790167212,1.32602489,0.28753221,1.133798838,-0.22645773,0.598440707,0.193083376,-0.355668902,0.813600898,-1.452574492,-0.281043887,-2.661859512,0.171621904,-0.361411303,1.672700405,-0.070561081,-0.180191964
23.0,23.0,,0.226815283,-1.245319128,-0.520407438,2.207758665,0.715136945,-0.290760159,1.224767923,-0.36338526,-0.929302096,1.253189087,2.43663764,-0.328139067,-1.159226775,-0.266028106,-1.795960903,-0.982079446,-1.023599267,-0.647025645,0.142696276,1.219244123,-0.898664057,1.556833982,-1.121576548,1.522060275,-0.49148795,-1.268776655,0.797534823,-2.41451335,-0.112939768,-0.372038871,1.200931549,0.279553711,0.576789021,-0.877051294,-1.09433949
23.0,33.0,,1.090361595,-0.842063844,0.03730787,0.23511906,-0.861640334,0.049805149,-0.655914247,1.540046811,-1.265989304,0.088217564,0.408235133,-0.973865867,-1.09626627,1.917135239,0.268911719,0.536232173,-1.572447538,-0.57185632,0.330210805,0.649150789,0.783538342,0.619543493,0.635971367,1.004935622,-0.172942594,-0.568046808,0.468500793,-0.124605089,-2.236344099,-0.994855225,0.810749531,-0.654193223,2.339385748,-1.043670535,-1.384397745
23.0,23.0,,1.54747498,-0.63764894,0.572618961,1.413121462,-0.869105756,-0.295870125,-0.612579703,1.931629419,-1.007516742,-0.906834126,-0.428881139,-2.163777351,-1.381759882,1.723350644,-1.018407106,0.743522644,-1.045002699,0.681790709,-0.475162923,0.708994389,0.391392887,1.086201072,-0.814486265,1.912482619,-1.124581099,-0.155931309,1.144207716,-0.453305334,-0.573046803,-0.316504449,-0.280417204,-0.093028374,2.195563078,-1.349383116,-1.538839817
23.0,23.0,,1.645978808,-1.070385814,3.427345276,1.539963722,-0.97321701,1.893595099,-0.567102492,-0.372422367,-2.571152687,-0.932833195,2.753143787,-1.055887938,-0.171174303,0.462663531,-0.903893352,-0.507443547,-2.745120525,-1.746492147,1.629891753,3.543648481,0.945006371,2.986444235,-1.893063426,0.656077266,0.204179868,-0.371754378,-0.362692833,-1.480220079,-1.395497203,-3.209402323,0.572904229,0.595850408,0.960197091,-0.443291068,0.106646232
23.0,23.0,,1.71201539,-1.282818317,0.081636824,1.978752017,-1.087230921,0.986811519,0.5546332,1.257368684,-1.749723792,-0.431262285,0.201357201,-2.659210205,-1.256155133,0.719811916,-0.600003958,1.433245301,-1.951726437,0.036476169,1.038156152,1.123224139,-0.055752721,1.468479633,-1.537733436,2.348933458,-1.89799583,0.204730853,1.86801517,-1.152549982,-0.771561742,-1.008139729,-0.110966153,0.56144309,2.452112675,-1.70395267,-1.8252877
23.0,23.0,,0.319138467,-2.12159729,1.458505034,1.100893617,-0.747324944,-0.557320595,0.56105423,2.196356773,-1.827337146,-0.131763399,1.51496017,-2.596397161,-0.157472789,0.533168018,-0.572564244,1.768481135,-1.303560495,-0.518084645,1.610760212,0.154148534,-2.18958354,-0.207321167,-3.527657509,2.078529358,-0.619793952,-0.98747009,0.449673176,0.64338249,0.226066366,-1.397011995,1.793342829,-0.067990705,1.359091163,-0.6174106,-1.331389666
23.0,29.0,,0.392973572,-0.363956243,2.188148022,1.341808796,-0.134237081,-0.145206898,0.947669625,2.533410072,-1.537658691,-1.027831316,0.260942996,-1.970752954,-0.47077319,1.305172682,-0.502002776,0.644543469,-1.474871874,-2.079904079,0.654972613,1.125106215,-0.097368173,0.065298855,-2.112883568,2.395892382,0.787841916,-1.863422275,-0.009901894,0.975805581,-0.193331718,-1.173009515,1.968408346,0.307095975,2.2333498,-0.835041702,-1.905826569
23.0,23.0,,0.002080663,-0.189532384,-0.17607291,1.83114028,-0.081167288,0.058149099,1.604927778,2.103149176,-2.162510395,-1.573101521,1.007041097,-2.319696665,0.438878804,2.382626534,-0.116822243,0.461712927,-3.865279436,-0.88280499,1.151964545,2.498892307,-1.608689547,-0.060842134,0.041350491,4.143928528,-0.825824082,-0.960005462,0.780154228,-1.017586708,1.636494875,-1.499136567,0.482007533,2.076565742,0.35086441,-0.00578243,-1.642343402
23.0,23.0,,-0.310226113,-1.005465031,-0.082758307,1.674802303,-0.764935434,0.354314923,2.133045197,3.223923922,-2.448879719,-0.540719867,0.623391509,-2.480872631,-1.006046653,0.890427589,0.251787066,-0.351584733,-2.630829811,-0.135673076,0.966328263,2.042647839,-1.101869702,-0.461770177,0.039628625,4.034861565,-0.840143204,-0.851498127,0.105538577,-0.335571229,0.104367465,-0.407596529,0.891059756,0.637268543,1.10936451,-0.683584094,-2.053488255
23.0,23.0,,1.130173445,-1.093414307,-0.233330145,-0.159777299,0.058548097,-1.036735177,-0.800499976,1.03696239,-1.488061309,-0.222272754,0.304549932,-1.665531516,0.060494978,0.477451026,-1.60530293,-0.195632756,-1.783409357,-0.665479124,0.45946309,0.005954281,-1.147239804,0.045308821,0.029763687,1.506310582,0.364321619,-1.151363015,1.40838778,-1.013202429,-0.366494924,-0.356245041,0.909925401,-0.456929624,3.144983292,-0.890632451,-2.192899704
23.0,23.0,,0.966079414,-0.193975657,0.091371335,1.430184484,-0.667126834,1.257887602,0.604456425,4.639641762,-2.256447315,-2.182452917,1.812981725,-1.670255899,0.030250039,2.379459381,1.85374999,0.957119644,-2.372960806,-0.696034968,0.565922737,2.370477915,-1.275041223,-0.252661556,0.036524512,3.9645226,0.658871114,0.809730649,0.053626776,-1.684827805,0.599816263,-1.27744329,-0.894019723,2.408664227,0.781551182,0.641553462,-1.815211654
23.0,25.0,,0.563988447,-1.45328474,0.748806655,1.284436226,-0.260540843,0.715726793,0.870927751,-0.534634471,-0.432950288,1.229029536,2.540261745,-0.147757635,-0.568601608,0.224307805,-3.48081851,0.72429198,-0.900267661,-1.091174006,0.913571954,1.621283054,0.223941162,0.814957678,-1.045500278,1.708534002,-0.003360766,-1.21437943,1.592032313,-1.223471045,-0.881570458,-1.088172793,1.143903494,-0.710916042,0.576480627,-1.39921236,-0.879609287
33.0,33.0,,-0.813096821,1.312923551,-1.567963958,2.731243849,0.757718682,-0.366105348,-1.290086508,0.401344508,-1.50158155,-0.066456921,0.728824258,-0.472003043,0.706220627,1.072728753,-1.351023912,2.369591713,1.942609787,-0.102744944,1.758524656,0.068698026,-2.929991722,0.727284193,1.787935615,-0.02655375,0.459099591,-0.976474822,1.240082383,-0.007572873,-2.369935036,-0.856088758,2.70494771,0.863696694,2.183467627,2.566148996,-0.396393448
33.0,33.0,,-0.337964475,0.567672133,-0.822739899,1.400894761,-0.155386031,-0.29479295,-0.672475159,1.120857477,-1.346589923,-0.272648245,0.724314988,0.183068544,0.366549879,1.308041215,-0.582711577,0.865238488,0.893753409,-0.690435886,0.9169572,0.062984414,-1.856822729,1.181717157,1.813396454,1.431555629,0.949194491,-1.234966755,0.219063491,-0.388059616,-0.864715636,0.105960846,2.419559002,0.237993598,0.48592031,0.73455441,-0.47116524
33.0,33.0,,0.314026147,0.4589957,-1.731641889,1.386551023,0.828522742,-1.422881603,-1.68501544,0.043755341,-0.75183171,-0.50663197,0.307978332,-0.170762584,0.080795549,0.763368249,-0.871759176,1.591814876,1.261051416,0.281185269,-0.198455945,-0.718574762,-1.961461067,0.854738891,2.161523581,-0.052124038,1.986396909,-0.121760599,1.096342325,-1.073290229,-0.851786375,0.285810381,2.311534405,-0.673915744,2.035721064,0.959531605,-1.103444219
33.0,33.0,,-0.595172346,1.46981132,-1.788437247,3.823608398,1.356932998,-1.131878257,-2.143939018,1.428158641,-2.126936674,-0.025653675,0.140568703,0.015945857,1.813806057,1.412048936,-0.891475976,2.520656586,2.207029104,0.157639429,1.599742174,-1.437512159,-3.647678375,0.287975997,0.797568977,-0.092666328,2.487380028,-1.009949923,0.889898956,0.568839729,-1.178314686,-0.595185935,2.790616035,0.456160009,1.37558949,3.213186979,-0.47950238
33.0,33.0,,1.323048234,0.204449445,0.736197233,1.409874678,-1.713886619,-0.10210266,-1.043805122,0.819498062,-1.254525185,-0.157389402,-0.366776317,-0.311908275,0.47288087,1.87969327,-1.300555229,0.713179886,-0.298976302,0.14137575,0.505043268,0.565373898,1.404593706,0.79928869,0.271142244,0.400555581,0.848969877,0.399164706,0.130973876,-0.564369798,-2.071654558,-0.914059043,0.968863964,-0.952133954,1.80970037,-0.330195278,-0.795001626
33.0,33.0,,-0.728944242,2.367625237,-0.699442804,3.098286867,0.673312724,0.639503419,-1.813930511,1.226194024,-2.261736155,-0.005480177,0.114720359,-0.719223082,1.297317624,0.334977031,-1.002174854,2.74561429,1.696406126,-0.066187158,1.128291726,-0.37865895,-2.69970727,0.964157462,-0.177185237,0.18658936,1.705714822,0.52116251,1.039169669,-0.719228089,-0.853441656,-0.054437749,2.706589222,-0.113989912,1.686136246,2.301897049,-0.1852092
33.0,33.0,,-1.46128118,1.718608379,-0.908269525,3.350482941,-0.629842997,0.036137506,-1.569373012,2.23813343,-3.806633472,-0.688971519,1.129292011,-1.048448443,0.354412824,3.243209362,-0.283245832,1.746082425,-1.241317987,-1.078327656,0.20255205,0.946609318,-2.152900696,0.843922317,1.484803796,1.862940073,1.050251007,0.311106116,-1.146491528,0.708428204,-1.535077214,-0.830340445,2.158520937,3.00189662,1.222816706,1.459780455,0.226771995
33.0,33.0,,-1.353919029,0.230726764,-0.280696303,2.268172264,0.530621171,-0.990415633,-0.95898813,0.229752392,-2.26087451,-1.185431242,0.634428322,-0.239393756,0.769593775,-0.384709328,-0.279019088,1.509064794,1.943236828,0.618563354,0.482560426,1.015313864,-1.333502769,0.58294791,-0.207840279,0.383396834,1.104485512,-0.728095651,1.366946816,1.284794331,-1.761175036,0.589118719,1.48606813,1.730643988,0.791758895,-1.047729492,-0.44430998
33.0,33.0,,1.039243937,-0.361343801,1.680495381,1.405322671,-1.252964258,0.244933739,-1.741299987,0.464359373,-1.822357535,-0.245673463,-0.20263429,-0.898047388,-0.493318141,2.099070311,-0.898536563,1.038653135,-0.741093636,-0.704539239,1.186794281,1.569001317,1.559790969,0.671371937,-1.472178102,0.620996952,0.153547838,0.034246173,-0.601540685,-0.446578979,-2.52280426,-1.101833105,0.465268821,-0.552338064,2.018102407,-0.504942536,0.584190249
33.0,33.0,,-1.384459496,2.795069933,-0.408580065,2.958784103,-0.576276422,-0.340277582,-1.575542808,0.001394552,-2.062978268,-0.676009297,2.041463137,-0.026136717,0.908551931,1.966155767,0.176224262,1.613494873,-1.209222078,-0.03032244,2.039780855,-1.320526123,-4.240986347,1.181476355,1.537551761,1.047664404,1.678697467,-2.136135101,-0.518219531,-0.455343932,-2.314932346,-1.30722177,3.605535507,1.803735256,-0.228679851,4.143565178,-2.297836304
33.0,33.0,,-1.00484252,0.853099108,-0.483117253,3.110839367,0.245573178,-1.637196183,-1.124386668,1.431828976,-2.368616343,-1.745701432,3.385069609,0.219414726,1.895464182,1.903762817,1.545945883,2.469560146,1.951684117,0.451542795,1.629215598,-0.550527155,-2.710224628,2.857903957,-0.768170416,1.334004879,2.597963095,-0.969251275,-0.675180912,1.405296803,-2.129229546,-1.268265009,3.611175299,1.127881885,0.086885221,0.626212835,-0.863210082
33.0,33.0,,0.303488165,1.401837707,-1.750992298,2.28730154,-1.02320838,-1.876376629,0.609512448,1.920681953,-2.063979626,-0.689822793,0.611297309,0.454211831,1.45806253,2.03206563,0.180227667,2.928475857,-1.632978678,1.186820745,2.750906467,0.453634351,-3.594907999,1.491384983,2.275116444,1.828224659,-0.036694963,-1.86476171,0.721565068,1.567643404,-2.393085003,-1.264364123,2.222964764,1.483841419,0.33978489,0.173425123,-2.180312157
34.0,34.0,,0.223359346,-1.932678938,1.521304965,1.069657803,-1.001152754,-0.116449714,2.724141121,-2.196311712,-0.553382695,0.416089356,-1.809182405,0.789717078,-0.970669746,-0.56643939,-2.771206141,-1.100890875,-0.428614974,1.891950607,0.350799561,2.798976421,-1.517107487,2.744796753,-3.514710426,1.397490144,-2.486247063,-2.480311394,2.055521011,-2.214428186,-0.686909139,-1.178783178,-0.945132852,0.953775823,-4.863213539,-1.316371441,0.267503142
34.0,34.0,,0.288606435,-1.148839593,-0.437642366,-0.239309773,-1.816639662,0.439026117,1.241338015,-1.257321954,1.350953698,-0.66514945,-2.334728479,0.974458456,-1.747457623,-0.360319793,-2.516919851,-0.129938617,0.894950151,3.286123753,-1.2762357,1.252067804,-1.164126635,1.89110291,-2.762442112,3.111037731,-2.876577616,-0.618038177,1.191641212,-2.711142063,-0.104830742,0.708190262,-1.114275575,0.242954195,-4.457874298,-1.694162011,-2.599467039
34.0,34.0,,-0.210640803,-2.239155531,0.182841122,-1.369162083,-1.745685697,1.359933615,2.533209324,-1.578533649,1.317314982,-0.741335392,-1.455832481,1.196131349,-1.356247067,-0.791748345,-2.549077272,1.16201961,0.416365892,3.135316133,0.571389437,2.643790245,-0.094486028,2.2631495,-4.210089207,3.001788139,-2.633388758,-2.049854755,2.433360577,-1.54754591,0.165435404,0.417029053,-1.494014263,-0.059354261,-4.461553574,-2.706054688,-3.763824701
